symbol,date,name
EXLS,2025-04-30,Exlservice Holdings
EVC,2025-04-30,Entravision Communications Corp.
GDYN,2025-04-30,
TARA,2025-04-30,
OMCL,2025-04-30,Omnicell
COHU,2025-04-30,Cohu
MGPI,2025-04-30,Mgp Ingredients
DKNG,2025-04-30,
XYL,2025-04-30,Xylem Inc. Common Stock New Whe
SAMG,2025-04-30,Silvercrest Asset Management Gr
BCYC,2025-04-30,
ACA,2025-04-30,
UTZ,2025-04-30,
WLDN,2025-04-30,Willdan Group
SDIG,2025-04-30,
UPBD,2025-04-30,
IQI,2025-04-30,Invesco Quality Muni Income Trust
BTSG,2025-04-30,
BAX,2025-04-30,
BPMC,2025-04-30,
NXTC,2025-04-30,
DLR,2025-04-30,Digital Realty Trust
HUN,2025-04-30,Huntsman Corp.
OFS,2025-04-30,Ofs Capital Corporation
JYNT,2025-04-30,
MTZ,2025-04-30,Mastec
FTDR,2025-04-30,
ONEW,2025-04-30,
ILMN,2025-04-30,Illumina
BILL,2025-04-30,
NET,2025-04-30,
CHD,2025-04-30,Church & Dwight Company
ALDX,2025-04-30,
IQV,2025-04-30,
CAH,2025-04-30,Cardinal Health
FIVN,2025-04-30,
CI,2025-04-30,Cigna Corp.
MTSI,2025-04-30,M/A-Com Technology Solutions Ho
DYN,2025-04-30,Dynegy Inc
AAPL,2025-04-30,Apple Inc.
RGA,2025-04-30,Reinsurance Group Of America Inc.
REZI,2025-04-30,
OLED,2025-04-30,Universal Display Corp.
AMH,2025-04-30,American Homes 4 Rent
CMI,2025-04-30,Cummmins Inc.
MRNA,2025-04-30,
RKT,2025-04-30,Rock-Tenn Company
MDU,2025-04-30,Mdu Res Group Inc
NSIT,2025-04-30,Insight Enterprises
CNK,2025-04-30,Cinemark Holdings Inc
KYMR,2025-04-30,
LIN,2025-04-30,Lin Media Llc
LFVN,2025-04-30,Lifevantage Corp
TW,2025-04-30,Towers Watson & Co
FTNT,2025-04-30,Fortinet
RXO,2025-04-30,
AES,2025-04-30,The Aes Corp.
XYZ,2025-04-30,
CTRA,2025-04-30,
PAX,2025-04-30,
MNTX,2025-04-30,Manitex International
LANC,2025-04-30,Lancaster Colony Corp.
LXRX,2025-04-30,Lexicon Pharmaceuticals
CPT,2025-04-30,Camden Property Trust
CTO,2025-04-30,
AGIO,2025-04-30,Agios Pharmaceuticals Inc.
IR,2025-04-30,Ingersoll-Rand Plc [Ireland]
IDCC,2025-04-30,Interdigital
LMAT,2025-04-30,Lemaitre Vascular
AME,2025-04-30,Amtek
PWR,2025-04-30,Quanta Services
GSIT,2025-04-30,Gsi Technology
HOLX,2025-04-30,Hologic
CSTL,2025-04-30,
GTIM,2025-04-30,Good Times Restaurants Inc.
IMII,2025-04-30,
RYAN,2025-04-30,
WSC,2025-04-30,
OLPX,2025-04-30,
MCO,2025-04-30,Moody's Corp.
DMRC,2025-04-30,Digimarc Corp.
RAVE,2025-04-30,
LNT,2025-04-30,Alliant Energy Corp.
NEXA,2025-04-30,
JHG,2025-04-30,
MSGS,2025-04-30,
COP,2025-04-30,Conocophillips
NREF,2025-04-30,
TNDM,2025-04-30,
APPN,2025-04-30,
CRTO,2025-04-30,
OPEN,2025-04-30,Opentable
OGN,2025-04-30,
IRMD,2025-04-30,
KURA,2025-04-30,
D,2025-04-30,Dominion Resources
PTON,2025-04-30,
RARE,2025-04-30,
RLAY,2025-04-30,
LASR,2025-04-30,
CCRD,2025-04-30,
CTOS,2025-04-30,
ITT,2025-04-30,Itt Industries
KRP,2025-04-30,
LOCO,2025-04-30,
BKNG,2025-04-30,
UMH,2025-04-30,Umh Properties
WRLD,2025-04-30,World Acceptance Corp.
ITRI,2025-04-30,Itron
GVA,2025-04-30,Granite Construction Inc.
VREX,2025-04-30,
FND,2025-04-30,
GERN,2025-04-30,Geron Corp.
OSPN,2025-04-30,
UGRO,2025-04-30,
AIP,2025-04-30,
TPIC,2025-04-30,
ULCC,2025-04-30,
CLAR,2025-04-30,
SNDR,2025-04-30,
MSI,2025-04-30,Motorola Solutions
UEIC,2025-04-30,Universal Electronics Inc.
PENN,2025-04-30,Penn National Gaming
SEM,2025-04-30,Select Medical Holdings Corp.
AGCO,2025-04-30,Agco Corp.
KRC,2025-04-30,Kilroy Realty Corp.
ALGN,2025-04-30,Align Technology
DSGR,2025-04-30,
ELEV,2025-04-30,
LEE,2025-04-30,Lee Enterprises Inc.
GEVO,2025-04-30,Gevo
MUR,2025-04-30,Murphy Oil Corp.
BMNM,2025-04-30,
ENOV,2025-04-30,
BTU,2025-04-30,Peabody Energy Corp.
DRVN,2025-04-30,
SPT,2025-04-30,
VGZ,2025-04-30,
IDA,2025-04-30,Idacorp
MNST,2025-04-30,Monster Beverage Corp
AUPH,2025-04-30,
GEL,2025-04-30,Genesis Energy L.P.
SHBI,2025-04-30,Shore Bancshares Inc
LAMR,2025-04-30,Lamar Advertising Company
PLMR,2025-04-30,
ATUS,2025-04-30,
TXRH,2025-04-30,Texas Roadhouse
ECVT,2025-04-30,
WK,2025-04-30,
PTVE,2025-04-30,
FOXF,2025-04-30,Fox Factory Holding Corp.
ED,2025-04-30,Consolidated Edison Company Of New York
VNT,2025-04-30,
CIVI,2025-04-30,
ZYME,2025-04-30,
AAON,2025-04-30,Aaon
SILC,2025-04-30,Silicom Ltd
WD,2025-04-30,
CABO,2025-04-30,
PNW,2025-04-30,Pinnacle West Capital Corp.
CRDF,2025-04-30,
VEL,2025-04-30,
REGN,2025-04-30,Regeneron Pharmaceuticals
AXGN,2025-04-30,Lectec Corp
EXC,2025-04-30,Exelon Corp.
FDP,2025-04-30,Fresh Del Monte Produce
ARW,2025-04-30,Arrow Electronics
RMAX,2025-04-30,
PBF,2025-04-30,Pbf Energy Inc.
PCTY,2025-04-30,
LAUR,2025-04-30,
ACCO,2025-04-30,
MATW,2025-04-30,Matthews International Corp.
ESGR,2025-04-30,Enstar Group Limited
ASPU,2025-04-30,
FLWS,2025-04-30,1-800 Flowers.Com
TPB,2025-04-30,
OXSQ,2025-04-30,
PDEX,2025-04-30,Pro-Dex
XPOF,2025-04-30,
DXYN,2025-04-30,The Dixie Group
GNRV,2025-04-30,
KWR,2025-04-30,Quaker Chemical Corp.
HTGC,2025-04-30,Hercules Technology Growth Capital
FT,2025-04-30,Franklin Universal Trust
IBOC,2025-04-30,International Bancshares Corp.
MP,2025-04-30,
CTHR,2025-04-30,Charles & Colvard Ltd
SHC,2025-04-30,
LNTH,2025-04-30,
DVA,2025-04-30,Davita Inc.
BRKR,2025-04-30,Bruker Corp.
ICFI,2025-04-30,Icf International
ATRO,2025-04-30,Astronics Corp.
ALHC,2025-04-30,
SWI,2025-04-30,Solarwinds
STEM,2025-04-30,Stemcells
EB,2025-04-30,
VIR,2025-04-30,
PTEN,2025-04-30,Patterson-Uti Energy
STMH,2025-04-30,
POST,2025-04-30,Post Holdings Inc. Common Stoc
ASUR,2025-04-30,Asure Software Inc
BWA,2025-04-30,Borgwarner Inc.
BFAM,2025-04-30,Bright Horizons Family Solutions Inc.
QGEN,2025-04-30,Qiagen N.V.
CDXS,2025-04-30,Codexis
TRGP,2025-04-30,Targa Resources
XPEL,2025-04-30,
GDDY,2025-04-30,
CSLR,2025-04-30,
IRTC,2025-04-30,
VRRM,2025-04-30,
GECC,2025-04-30,
SWTX,2025-04-30,
TUSK,2025-04-30,
BOOM,2025-04-30,Dynamic Materials Corp.
GEHC,2025-04-30,
AEE,2025-04-30,Ameren Corp.
MBUU,2025-04-30,
PACK,2025-04-30,
ABUS,2025-04-30,
PJT,2025-04-30,
ZTS,2025-04-30,Zoetis Inc. Class A Common Stoc
CGNX,2025-04-30,Cognex Corp.
INMD,2025-04-30,
AMGN,2025-04-30,Amgen Inc.
LXP,2025-04-30,Lexington Realty Trust
ICE,2025-04-30,Intercontinentalexchange
CRAI,2025-04-30,Cra Internationalinc.
APO,2025-04-30,Apollo Global Management LLc C
NVRI,2025-04-30,
EXPE,2025-04-30,Expedia
CMPR,2025-04-30,
RMNI,2025-04-30,
ZEUS,2025-04-30,Olympic Steel
CDLX,2025-04-30,
ALTR,2025-04-30,Altera Corp.
XRAY,2025-04-30,Dentsply International Inc.
CYBR,2025-04-30,
APG,2025-04-30,
WFCF,2025-04-30,
FDUS,2025-04-30,Fidus Investment Corporation
ASNS,2025-04-30,
NPKI,2025-04-30,
XHR,2025-04-30,
HII,2025-04-30,Huntington Ingalls Industries
MCS,2025-04-30,Marcus Corp.
MELI,2025-04-30,Mercadolibre
ONIT,2025-04-30,
BFS,2025-04-30,Saul Centers
HAYW,2025-04-30,
SGHT,2025-04-30,
BBAI,2025-04-30,
IRM,2025-04-30,Iron Mountain Inc.
ALNY,2025-04-30,Alnylam Pharmaceuticals
PATK,2025-04-30,Patrick Industries
AXTI,2025-04-30,Axt Inc
W,2025-04-30,
LYV,2025-04-30,Live Nation Entertainment
COIN,2025-04-30,
ARDX,2025-04-30,
HWM,2025-04-30,
PBYI,2025-04-30,Puma Biotechnology
GCI,2025-04-30,Gannet Co.
UPLD,2025-04-30,
DBD,2025-04-30,Diebold Inc.
DLB,2025-04-30,Dolby Laboratories
OUT,2025-04-30,
CERS,2025-04-30,Cerus Corp.
DMLP,2025-04-30,Dorchester Minerals L.P.
MODV,2025-04-30,
VIAV,2025-04-30,
AWRE,2025-04-30,Aware
ALG,2025-04-30,Alamo Group
ARES,2025-04-30,
PBI,2025-04-30,Pitney Bowes Inc
ASND,2025-04-30,
DRH,2025-04-30,Diamondrock Hospitality Company
BDC,2025-04-30,Belden Inc
SSTK,2025-04-30,Shutterstock Inc.
VRSK,2025-04-29,Verisk Analytics
TCPC,2025-04-29,Tcp Capital Corp.
ADP,2025-04-29,Automatic Data Processing
SMHI,2025-04-29,
SFM,2025-04-29,Sprouts Farmers Market Inc.
GPN,2025-04-29,Global Payments Inc.
FAT,2025-04-29,
RM,2025-04-29,Regional Managment Corp
CSGS,2025-04-29,Csg Systems International
RDN,2025-04-29,Radian Group Inc.
WHG,2025-04-29,
ASPN,2025-04-29,
YIBO,2025-04-29,
EXTR,2025-04-29,Extreme Networks
ESAB,2025-04-29,
CCRN,2025-04-29,Cross Country Healthcare
ELME,2025-04-29,
AMIH,2025-04-29,
SR,2025-04-29,Standard Register Company
GM,2025-04-29,General Motors Company
MA,2025-04-29,Mastercard Inc.
AMWL,2025-04-29,
ENVX,2025-04-29,
NOVA,2025-04-29,
WLKP,2025-04-29,
CAR,2025-04-29,Avis Budget Group
PMHG,2025-04-29,
AVT,2025-04-29,Avnet
EQC,2025-04-29,
HRTG,2025-04-29,
AWK,2025-04-29,American Water Works
DASH,2025-04-29,
PFE,2025-04-29,Pfizer
EZPW,2025-04-29,Ezcorp
NVEC,2025-04-29,Nve Corp.
CTVA,2025-04-29,
OSW,2025-04-29,
PGRE,2025-04-29,
ALB,2025-04-29,Albemarle Corp.
KHC,2025-04-29,
ES,2025-04-29,
KKR,2025-04-29,Kkr
QRVO,2025-04-29,
WING,2025-04-29,
ALKT,2025-04-29,
BRSP,2025-04-29,
PRDO,2025-04-29,
TPVG,2025-04-29,
FSLY,2025-04-29,
BALY,2025-04-29,
FCPT,2025-04-29,
PUMP,2025-04-29,
BRY,2025-04-29,Berry Petroleum Company
UFPT,2025-04-29,Ufp Technologies
BFLY,2025-04-29,
BV,2025-04-29,Bazaarvoice Inc.
USAP,2025-04-29,Universal Stainless & Alloy Products
NWPX,2025-04-29,Northwest Pipe Company
MAA,2025-04-29,Mid-America Apartment Communities
TIPT,2025-04-29,Tiptree Financial Inc.
GTE,2025-04-29,
MYRG,2025-04-29,Myr Group
UPWK,2025-04-29,
DD,2025-04-29,E.I. Du Pont De Nemours And Company
SHOO,2025-04-29,Steven Madden
NSA,2025-04-29,
MUSA,2025-04-29,
OPI,2025-04-29,
AFG,2025-04-29,American Financial Group  
QCOM,2025-04-29,Qualcomm Inc.
GKOS,2025-04-29,
JBSS,2025-04-29,John B. Sanfilippo & Son
NBIX,2025-04-29,Neurocrine Biosciences
DVN,2025-04-29,Devon Energy Corp.
MAX,2025-04-29,
MAR,2025-04-29,Marriot International
SITE,2025-04-29,
CVS,2025-04-29,Cvs Corp.
PBFS,2025-04-29,
BBSI,2025-04-29,Barrett Business Services
GTES,2025-04-29,
SCKT,2025-04-29,
BNL,2025-04-29,
AER,2025-04-29,Aercap Holdings N.V.
EXPI,2025-04-29,
MET,2025-04-29,Metlife
CLMB,2025-04-29,
MGM,2025-04-29,Mgm Resorts International
XPL,2025-04-29,
NGVT,2025-04-29,
AVA,2025-04-29,Avista Corp.
ANSS,2025-04-29,Ansys
PCOR,2025-04-29,
MG,2025-04-29,Mistras Group Inc
RGEN,2025-04-29,Repligen Corp.
PLPC,2025-04-29,Preformed Line Products Company
HPP,2025-04-29,Hudson Pacific Properties
MVXM,2025-04-29,
WSR,2025-04-29,
MO,2025-04-29,Altria Group
RIOT,2025-04-29,
PLYM,2025-04-29,
NERV,2025-04-29,
DRS,2025-04-29,
MKL,2025-04-29,Markel Corp.
ACLS,2025-04-29,Axcelis Technologies
MOS,2025-04-29,Mosaic Company
SRDX,2025-04-29,Surmodics
HLF,2025-04-29,Herbalife Ltd
TTEK,2025-04-29,Tetra Tech
PTC,2025-04-29,
AFL,2025-04-29,Aflac Incorporated
TENB,2025-04-29,
ACT,2025-04-29,Actavis Inc.
STGW,2025-04-29,
LIVN,2025-04-29,
HCC,2025-04-29,Hcc Insurance Holdings
CDE,2025-04-29,Coeur D'Alene Mines Corp.
GRBK,2025-04-29,
FLEX,2025-04-29,Flextronics International Ltd
DAY,2025-04-29,
EAT,2025-04-29,Brinker International
CW,2025-04-29,Curtiss-Wright Corp.
RSI,2025-04-29,
CULP,2025-04-29,
NCSM,2025-04-29,
ETSY,2025-04-29,
QTWO,2025-04-29,
RHP,2025-04-29,Gaylord Entertainment Company
NVST,2025-04-29,
EBS,2025-04-29,Emergent Biosolutions
DGII,2025-04-29,Digi International Inc.
SDGR,2025-04-29,
VICI,2025-04-29,
GRMN,2025-04-29,Garmin Ltd
CENX,2025-04-29,Century Aluminum Company
UTHR,2025-04-29,United Therapeutics Corp.
INN,2025-04-29,Summit Hotel Properties
FORM,2025-04-29,Formfactor
SLGN,2025-04-29,Silgan Holdings
CRK,2025-04-29,Comstock Resources
NCLH,2025-04-29,Norwegian Cruise Line Holdings
ENSG,2025-04-29,The Ensign Group
CVNA,2025-04-29,
PPL,2025-04-29,Ppl Corp.
ATRC,2025-04-29,Atricure
WOLF,2025-04-29,
GFAI,2025-04-29,
CG,2025-04-29,The Carlyle Group L.P.
PRCT,2025-04-29,
CNXN,2025-04-29,
ZBRA,2025-04-29,Zebra Technologies Corporation
BCAL,2025-04-29,
AXTA,2025-04-29,
RLJ,2025-04-29,Rlj Lodging Trust
EPR,2025-04-29,Entertainment Properties Trust
HDSN,2025-04-29,Hudson Technologies
CLH,2025-04-29,Clean Harbors
PSN,2025-04-29,
BHE,2025-04-29,Benchmark Electronics
ROCK,2025-04-29,Gibraltar Industries
CMRX,2025-04-29,Chimerix Inc.
ACHC,2025-04-29,Acadia Healthcare Company Inc.
INFN,2025-04-29,Infinera Corp.
CNDT,2025-04-29,
TROX,2025-04-29,Tronox Inc
ENTG,2025-04-29,Entegris
DFIN,2025-04-29,
CDW,2025-04-29,Cdw Corporation
GLAD,2025-04-29,Gladstone Capital Corp.
FRSH,2025-04-29,
MTRN,2025-04-29,Brush Wellman Inc
SPOK,2025-04-29,
APA,2025-04-29,Apache Corp.
ICDIQ,2025-04-29,
NYMT,2025-04-29,New York Mortgage Trust
ERII,2025-04-29,Energy Recovery
CRS,2025-04-29,Carpenter Technology Corp.
ARAY,2025-04-29,Accuray Incorporated
NSP,2025-04-29,Insperity Inc
CTSH,2025-04-29,Cognizant Technology Solutions
MTG,2025-04-29,Mgic Investment Corp.
TECH,2025-04-29,Techne Corp.
FLG,2025-04-29,
NMFC,2025-04-29,New Mountain Finance Corporati
SRPT,2025-04-29,Sarepta Therapeutics Inc
GNW,2025-04-29,Genworth Financial Inc
WHD,2025-04-29,
AVNW,2025-04-29,Aviat Networks
MPWR,2025-04-29,Monolithic Power Systems
MRAM,2025-04-29,
CWH,2025-04-29,Commonwealth REIT
SIGI,2025-04-29,Selective Insurance Group
SXC,2025-04-29,Suncoke Energy Inc
LSEA,2025-04-29,
CODI,2025-04-29,Compass Diversified Holdings
EBAY,2025-04-29,Ebay Inc.
ASTE,2025-04-29,Astec Industries
SUM,2025-04-29,
CPSH,2025-04-29,
EVTC,2025-04-29,Evertec Inc. Common Stock
Z,2025-04-29,Zillow Inc. Cl A
CSV,2025-04-29,Carriage Services
LNKB,2025-04-29,
CHRW,2025-04-29,C.H. Robinson Worldwide
KAR,2025-04-29,Kar Auction Services Inc
LARK,2025-04-29,Landmark Bancorp Inc.
TGTX,2025-04-29,Tg Therapeutics
CTS,2025-04-29,Cts Corp.
LBTYA,2025-04-29,Liberty Global
PPC,2025-04-29,Pilgrim's Pride Corp.
NC,2025-04-29,Nacco Industries
RGCO,2025-04-29,Rgc Resources Inc.
HST,2025-04-29,Host Marriott Financial Trust
FMCC,2025-04-29,
NHTC,2025-04-29,
AIG,2025-04-29,American International Group
LUNG,2025-04-29,
NFG,2025-04-29,National Fuel Gas Company
ALKS,2025-04-29,Alkermes
CHEF,2025-04-29,The Chefs' Warehouse Inc.
ALL,2025-04-29,Allstate Corporation
HVT,2025-04-29,Haverty Furniture Companies
NRT,2025-04-29,North European Oil Royality Trust
BZH,2025-04-29,Beazer Homes USA
TTMI,2025-04-29,Ttm Technologies
CORT,2025-04-29,Corcept Therapeutics Inc.
BIP,2025-04-29,Brookfield Infrastructure Partners Lp
AEIS,2025-04-29,Advanced Energy Industries
KN,2025-04-29,
SMMT,2025-04-29,
DLX,2025-04-29,Deluxe Corp.
OFLX,2025-04-29,Omega Flex
COR,2025-04-29,Coresite Realty Corp.
RGS,2025-04-29,Regis Corp.
FSLR,2025-04-29,First Solar
TSLX,2025-04-29,
FARO,2025-04-29,Faro Technologies
PAYC,2025-04-29,
VAL,2025-04-29,Valspar Corp.
SGU,2025-04-29,Star Gas Partners L.P.
ARCC,2025-04-29,Ares Capital Corp.
NNN,2025-04-29,National Retail Properties
DLHC,2025-04-29,Dlh Holdings Corp
HYLN,2025-04-28,
MIR,2025-04-28,
VINOQ,2025-04-28,
BEN,2025-04-28,Franklin Resources
USA,2025-04-28,Liberty All-Star Equity Fund
GNRC,2025-04-28,Generac Holdings Inc.
IT,2025-04-28,Gartner
PBHC,2025-04-28,Pathfinder Bancorp
QSR,2025-04-28,
BXP,2025-04-28,Boston Properties
OKE,2025-04-28,Oneok
ITW,2025-04-28,Illinois Tool Works Inc.
PEG,2025-04-28,Public Service Enterprise Group Inc.
EVBN,2025-04-28,
JKS,2025-04-28,Jinkosolar Holding Company Limited
RMBS,2025-04-28,Rambus
MIND,2025-04-28,Mitcham Industries
LFUS,2025-04-28,Littelfuse
DBRG,2025-04-28,
TXG,2025-04-28,
UMBF,2025-04-28,Umb Financial Corp.
FBIN,2025-04-28,
SOFI,2025-04-28,
SITC,2025-04-28,
SWKS,2025-04-28,Skyworks Solutions
NXRT,2025-04-28,
KBR,2025-04-28,Kbr
FFNW,2025-04-28,First Financial Northwest
QUAD,2025-04-28,Quad Graphics Inc
MDLZ,2025-04-28,Mondelez International Inc. Cl A
RVTY,2025-04-28,
BSBK,2025-04-28,
CC,2025-04-28,
MMM,2025-04-28,3M Company
PARA,2025-04-28,
MVBF,2025-04-28,
OI,2025-04-28,Owens-Illinois
CECO,2025-04-28,Career Education Corp.
WWD,2025-04-28,Woodward
AIXI,2025-04-28,
CNP,2025-04-28,Centerpoint Energy Inc
BRBS,2025-04-28,
KO,2025-04-28,Coca-Cola Company
MMSI,2025-04-28,Merit Medical Systems
CCK,2025-04-28,Crown Cork & Seal Company
RBOT,2025-04-28,
USLM,2025-04-28,United States Lime & Minerals
AAT,2025-04-28,American Assets Trust
THFF,2025-04-28,First Financial Corporation Indiana
NARI,2025-04-28,
TMHC,2025-04-28,Taylor Morrison Home Corporatio
ZYXI,2025-04-28,
MFIN,2025-04-28,
PYPL,2025-04-28,
FLXS,2025-04-28,Flexsteel Industries
LXU,2025-04-28,Lsb Industries Inc.
PRU,2025-04-28,Prudential Financial Inflation Retail
ATEN,2025-04-28,
FBRT,2025-04-28,
EG,2025-04-28,
LTC,2025-04-28,Ltc Properties
CHGG,2025-04-28,
TREE,2025-04-28,Tree.Com
DNB,2025-04-28,Dun & Bradstreet Corp.
MSTR,2025-04-28,Microstrategy Inc.
PINS,2025-04-28,
RNR,2025-04-28,Renaissancere Holdings Ltd
LMND,2025-04-28,
ROOT,2025-04-28,
MED,2025-04-28,Medifast Inc
DAN,2025-04-28,Dana Holding Corp.
SSBI,2025-04-28,Summit State Bank
SIRI,2025-04-28,Sirius Xm Radio Inc.
CNO,2025-04-28,Cno Financial Group
HRMY,2025-04-28,
FSBC,2025-04-28,
GBFH,2025-04-28,
LPLA,2025-04-28,Lpl Investment Holdings Inc.
CWK,2025-04-28,
NXPI,2025-04-28,Nxp Semiconductors N.V.
CRAWA,2025-04-28,
FSP,2025-04-28,
CSR,2025-04-28,
ON,2025-04-28,
RITM,2025-04-28,
CHCT,2025-04-28,
CCCS,2025-04-28,
BRX,2025-04-28,
MCD,2025-04-28,Mcdonald's Corp.
CCB,2025-04-28,
OMF,2025-04-28,
FFIV,2025-04-28,F5 Networks
NOG,2025-04-28,
TBBA,2025-04-28,
KLIC,2025-04-28,Kulicke And Soffa Industries
TWO,2025-04-28,Two Harbors Investments Corp
SMCI,2025-04-28,Super Micro Computer
OGE,2025-04-28,Oge Energy Corp.
TWIN,2025-04-28,Twin Disc Inc.
IVDN,2025-04-28,
MAC,2025-04-28,Macerich Company
GABC,2025-04-28,German American Bancorp
RCKY,2025-04-28,Rocky Brands
NTGR,2025-04-28,Netgear
CIVB,2025-04-28,
VNOM,2025-04-28,
ACIW,2025-04-28,Aci Worldwide
NBN,2025-04-28,Northeast Bancorp
WSBF,2025-04-28,Waterstone Financial
BMRC,2025-04-28,Bank Of Marin Bancorp
LEA,2025-04-28,Lear Corp.
CZWI,2025-04-28,Citizens Community Bancorp
AWI,2025-04-28,Armstrong World Industries Inc
KAI,2025-04-28,Kadant Inc
TRUE,2025-04-28,
EXR,2025-04-28,Extra Space Storage Inc
ALLGF,2025-04-28,
FSS,2025-04-28,Federal Signal Corp.
PAG,2025-04-28,Penske Automotive Group
CAC,2025-04-28,Camden National Corp.
CLBK,2025-04-28,
AMBZ,2025-04-28,
AROW,2025-04-28,Arrow Financial Corp.
HLIT,2025-04-28,Harmonic Inc.
PCH,2025-04-28,Potlatch Corp.
MTAL,2025-04-28,
SANM,2025-04-28,Sanmina-Sci Corp.
BXC,2025-04-28,Bluelinx Holdings Inc.
THRM,2025-04-28,Amerigon Incorporated
ACGL,2025-04-28,Arch Capital Group Ltd
NMIH,2025-04-28,
MBIN,2025-04-28,
INVH,2025-04-28,
ESBS,2025-04-28,
LKNCY,2025-04-28,
AMCR,2025-04-28,
HRZN,2025-04-28,Horizon Technology Finance Corp.
HEES,2025-04-28,H&E Equipment Services
SEB,2025-04-28,
RIG,2025-04-28,Transocean Inc.
CVRX,2025-04-28,
STAG,2025-04-28,STI Inc
PCAR,2025-04-28,Paccar Inc.
YUMC,2025-04-28,
JKHY,2025-04-28,Jack Henry & Associates
CVI,2025-04-28,Cvr Energy Inc.
LEG,2025-04-28,Leggett & Platt Inc.
CCJ,2025-04-28,Cameco Corp.
ADM,2025-04-28,Archer-Daniels-Midland Company
PDLB,2025-04-28,
CVLT,2025-04-28,Commvault Systems
TRTX,2025-04-28,
MPC,2025-04-28,Marathon Petroleum Corporation
AMKR,2025-04-28,Amkor Technology
FXNC,2025-04-28,
AMZN,2025-04-28,Amazon.Com
SSKN,2025-04-28,
AIN,2025-04-28,Albany International Corp.
IPGP,2025-04-28,Ipg Photonics Corp.
LSCC,2025-04-28,Lattice Semiconductor Corp.
CLW,2025-04-28,Clearwater Paper Corp.
GPOR,2025-04-28,Gulfport Energy Corp.
SEVN,2025-04-28,
DQ,2025-04-28,Daqq New Energy
EPD,2025-04-28,Enterprise Products Partners L.P.
WERN,2025-04-28,Werner Enterprises
ATI,2025-04-28,Allagheny Technologies Inc.
UWHR,2025-04-28,
FORR,2025-04-28,Forrester Research
MCY,2025-04-28,Mercury General Corp.
BWTL,2025-04-28,
EQH,2025-04-28,
AROC,2025-04-28,
FMBM,2025-04-28,
BSFO,2025-04-28,
