symbol,date,name
LNG,2025-05-01,
ITIC,2025-05-01,Investors Title Company
PRLB,2025-05-01,Proto Labs Inc.
WLFC,2025-05-01,Willis Lease Finance Corp.
OMI,2025-05-01,Owens & Minor
NSARO,2025-05-01,
GAM,2025-05-01,General American Investors
UUUU,2025-05-01,
HSY,2025-05-01,Hershey Foods Corp.
BIOF,2025-05-01,Biofuel Energy
ARVN,2025-05-01,
MBLU,2025-05-01,
FLGT,2025-05-01,
CIO,2025-05-01,
CBOE,2025-05-01,CBOE Holdings
PH,2025-05-01,Parker-Hannifin Corp.
CMLS,2025-05-01,Cumulus Media Inc.
ETHE,2025-05-01,
PAGP,2025-05-01,
JOUT,2025-05-01,Johnson Outdoors Inc.
JANL,2025-05-01,
TBNK,2025-05-01,Territorial Bancorp Inc.
CQP,2025-05-01,
PWP,2025-05-01,
GTLS,2025-05-01,Chart Industries
TRMB,2025-05-01,Trimble Navigation Limited
PPWLO,2025-05-01,
ADNT,2025-05-01,
ASIX,2025-05-01,
PAA,2025-05-01,Plains All American Pipeline L.P.
NMRK,2025-05-01,
FUBO,2025-05-01,
ALTS,2025-05-01,
BNCC,2025-05-01,
LLY,2025-05-01,Eli Lilly And Company
CBRE,2025-05-01,
UNIT,2025-05-01,
USM,2025-05-01,United States Cellular Corp.
BFNH,2025-05-01,
CRBG,2025-05-01,
LPTV,2025-05-01,
BDX,2025-05-01,Becton Dickinson And Company
MITT,2025-05-01,Ag Mortgage Investment Trust
AXL,2025-05-01,American Axle & Manufacturing
KOP,2025-05-01,Koppers Holdings Inc.
BEPC,2025-05-01,
IESC,2025-05-01,Integrated Electrical Services
LGIQ,2025-05-01,
IDXX,2025-05-01,Idexx Laboratories
COLM,2025-05-01,Columbia Sportswear Company
TILE,2025-05-01,Interface
GPK,2025-05-01,Graphic Packaging Holdings Company
ATR,2025-05-01,Aptargroup
GPRE,2025-05-01,Green Plains Renewable Energy
RPID,2025-05-01,
SCIA,2025-05-01,
RPT,2025-05-01,Ramco-Gershenson Properties Trust
TDS,2025-05-01,Telephone And Data Systems
TSVT,2025-05-01,
FLR,2025-05-01,Fluor Corp.
EL,2025-05-01,Estee Lauder Companies
XPO,2025-05-01,Express-1 Expedited Solutions
ABR,2025-05-01,Arbor Realty Trust
SHEN,2025-05-01,Shenandoah Telecommunications Co
BCPC,2025-05-01,Balchem Corp.
FUST,2025-05-01,
FYBR,2025-05-01,
IP,2025-04-30,International Paper Company
STTK,2025-04-30,
DFH,2025-04-30,
ATGE,2025-04-30,
REG,2025-04-30,Regency Centers Corp.
AAMI,2025-04-30,
NB,2025-04-30,
THRY,2025-04-30,
VTN,2025-04-30,
CTRE,2025-04-30,
OHI,2025-04-30,Omega Healthcare Investors
ATYR,2025-04-30,
CTA PR A,2025-04-30,
BECN,2025-04-30,Beacon Roofing Supply
MRIN,2025-04-30,Marin Sotfware Incorporated
SHAK,2025-04-30,
TRUP,2025-04-30,
AVNS,2025-04-30,
KTB,2025-04-30,
TWST,2025-04-30,
VSTS,2025-04-30,
CLFD,2025-04-30,Clearfield
BBIO,2025-04-30,
EOG,2025-04-30,Eog Resources
SABR,2025-04-30,
K,2025-04-30,Kellogg Company
