vol_pri,symbol
999999999999,SPY
43896140617,TSLA
35280302426,NVDA
34793780760,SPY
25411605600,QQQ
13705437371,META
12477260377,AMZN
12022565030,PLTR
11907273600,AAPL
11787286140,MSFT
8412843950,MSTR
7462261736,GOOGL
7345005808,SMCI
7284096050,IWM
6851865600,AVGO
6072723076,TQQQ
5259766990,IBIT
5163021269,BABA
4688074020,NFLX
4608033010,APP
4559871250,TLT
4552750288,LLY
4225954199,AMD
4193421693,UNH
3923748585,TSM
3752956860,GOOG
3400036125,BRK.B
3341916222,COIN
3303140760,HIMS
3015767051,VOO
2930672192,LQD
2842856825,TSLL
2837834063,HOOD
2767389285,WMT
2755383680,IVV
2736235362,GLD
2627163000,HD
2570303529,XLF
2519610732,JPM
2446813785,HYG
2423136747,SOXL
2360145800,MRVL
2254000000,CRM
2195369840,SQQQ
2175647903,V
2168673174,COST
2151939744,INTC
2136194367,SRE
2100152826,GEV
2030295912,MA
2019020760,JNJ
1980732796,NOW
1957436000,BSX
1886324715,VST
1858794535,SMH
1827310000,BKNG
1817433400,VRT
1813874727,GS
1777083100,MU
1772019480,XLV
1744147899,CRWD
1735291120,ETN
1710155994,INTU
1697439070,BAC
1689778100,MRK
1685832616,SPOT
1681434578,RSP
1642819792,IBM
1613504970,XOM
1592717294,PYPL
1589529460,ABBV
1585449280,LRCX
1556894238,ANET
1544750145,TEM
1527422730,KO
1504784351,XLP
1499279299,TXN
1493540512,UBER
1488084780,ISRG
1468991861,PM
1466573334,PEP
1440822024,AMAT
1432695570,BRK.A
1427659999,CSCO
1410599764,T
1407815640,ORCL
1388703705,FXI
1361225260,AMGN
1348921709,CEG
1332870534,QCOM
1328801488,XLI
1309177094,SCHW
1286149620,DIA
1284781872,ARKK
1266358184,NVDL
1259827002,TT
1252878944,PG
1251978190,WDAY
1250452126,XYZ
1249320105,CMCSA
1246611975,NKE
1244072236,SBUX
1238206509,ASML
1221258571,WFC
1209759999,XLE
1209076528,SNOW
1205254442,XLK
1203173970,MCD
1177440000,MELI
1175729652,SOXS
1163925872,PFE
1158609722,ADBE
1148220852,C
1145377266,IWF
1141084550,IGV
1133313500,CAT
1130362304,SHOP
1124422850,CVNA
1122113572,FBTC
1116513000,KKR
1098704640,DHR
1089158343,SGOV
1076101488,CVX
1075749038,LIN
1063033280,PDD
1061473702,VZ
1058073252,NVO
1051052762,TCOM
1042654200,LOW
1039023000,FLUT
1036324892,PANW
1033079039,VTI
1023062298,AMT
1013010209,BA
1010164830,TMO
1002974800,RDDT
1001314080,NEE
998512697,BCS
990748000,FI
985899711,ADI
983178768,PGR
981915748,XBI
977287255,MS
961781800,BLK
950202549,DKNG
949905099,KWEB
946720372,TMUS
933602428,HCA
921143176,SHV
918567294,CI
907291624,CMG
903879188,COF
896799200,GILD
896119789,ABNB
894555200,BMY
891723780,SOFI
885026425,EEM
881071677,DDOG
873224172,SNPS
870474095,XLY
866960660,XLU
864550218,ABT
859557387,ZM
854374400,APO
845233956,NU
841405824,ELV
841059450,KRE
837387531,PWR
832633163,EFA
831886848,F
825107325,SPLG
823917267,SE
821091393,TTD
820076172,GE
814943640,APH
813313847,GDX
812202127,DIS
808722376,TGT
806147316,ARM
802032160,HON
795162344,CAVA
794848356,DASH
787921872,EMB
786799494,KLAC
785581422,MDLZ
776638500,MCK
774887200,EQIX
774495568,TJX
769105590,BX
768973257,FSLR
767655145,SOXX
765450070,U
765362976,BIL
757910475,LMT
756479871,RTX
756072000,REGN
747057000,DELL
745949783,AXP
743340847,AAL
742194843,AZN
741677400,UAL
738258160,FANG
727375950,IEF
722023750,VCIT
719383203,LI
715353300,URI
714122106,SHW
711423302,NXPI
707198524,UNP
703239408,ACN
701962645,EA
696386304,OKE
695975950,CDNS
691695360,KDP
678653670,AXON
674653616,MARA
674048844,MSTZ
673100096,MO
669647690,UVXY
664487500,STZ
664147470,ZTS
650379004,CVS
646436250,SYK
645890891,SLV
645530236,SPXL
642392005,JD
637159207,CELH
633885741,MMM
631229130,RKLB
629856513,BITX
625920163,FNGU
624721920,CRH
622199745,DHI
621669984,XLC
615918850,EWZ
613106542,LYV
607207500,VXX
606562902,ALAB
605601024,IBKR
602356686,AON
599802560,SLB
599598900,DECK
598412396,NVS
597835150,DAL
593108859,LNG
592606848,QQQM
591218864,DE
590779375,MPWR
588421200,ADP
586454710,CLS
584615496,ICE
581185262,IEFA
581120442,USB
580622976,UPS
580526760,ET
579229590,RGTI
578028016,COP
576899525,VRTX
576657004,SPXS
576200100,LPLA
572288380,AGG
571329810,NEM
571297920,MCHP
568918187,WDC
568889760,ROP
568400544,MDT
565036857,AJG
564971040,NET
563349298,HCP
560881405,NOC
557429711,SPGI
555169807,TSLQ
555147393,OXY
552004390,OKLO
550082946,IJH
545429030,CPNG
544531251,O
542823120,MSTU
540412918,ORLY
537471314,TNA
536464994,GOLD
534022440,ADSK
531111100,VEA
530494862,CME
528929115,SMCX
527587661,MMC
527546950,KVUE
527419830,CL
524712060,BK
523406492,UPST
521313393,PODD
520217280,NBIS
518652500,RCL
518334174,NSC
510477390,IAI
507798054,APLD
504448620,MCO
501981514,MAR
500296214,LULU
499778906,VUG
498935052,EXPE
497699460,BP
493457937,VGT
492812544,UPRO
492760960,TPR
490305600,AIG
490210812,IJR
488725083,IAU
486107856,HSY
485915087,PSLV
483494800,PLNT
483436692,WBD
483334808,COHR
482869875,ONVO
481799175,CB
481683552,OTIS
481505115,AFRM
478740360,FTNT
478401376,MSTX
477424890,PH
476797728,DFS
476512320,MDY
475617190,WELL
474915102,ON
473119572,DLR
472500167,CCL
467311992,EW
466642550,RBLX
465894600,ITB
465323292,MUB
459117009,UBS
455877528,HBAN
454843816,WMB
452739183,PLD
452541100,JPST
451455537,HUM
450119208,JEPQ
449628061,CART
449369447,XRT
446121216,CTAS
445219448,INDA
445156536,WM
443560511,CNH
438238349,IWB
437698945,TRGP
435357939,FICO
435307338,EBAY
434758320,TEAM
434599542,SO
434133280,PSA
434001470,RIVN
432225218,CARR
431988176,CLF
430901162,SAP
430324689,GBTC
429242385,CMI
428654412,UVIX
425655873,COR
425488767,IQV
424582179,YUM
424399920,CRDO
424304460,AZO
423829509,ECL
423056172,GD
420925914,DPZ
420019866,BITO
419897349,MSCI
416914376,CSX
415756404,PINS
412754188,WAFU
410780575,VTV
410376582,CCI
410036992,IONQ
409660600,TWLO
409591590,IWP
408512018,XLB
408111836,TRV
407515000,EQT
407238020,DVN
406923849,BLDR
406010145,KMI
405071466,MNST
404622927,TZA
404599290,NEE-S
404584656,TTWO
402342576,RIOT
399430444,VNQ
398641648,PCAR
397002630,QLD
396006870,SNDK
395747184,GSK
394913172,FCX
392269500,SBAC
392041540,BDX
390266691,RL
389448675,APD
389214847,MLM
388934840,FERG
388646265,IDXX
387737504,KR
387378795,MRNA
386892160,NRG
386066499,JEPI
383916060,EXC
383839368,CHTR
381006730,OC
380141108,ACWI
379704280,XOP
379436787,ODFL
379339902,MSI
379210560,JNK
378785711,KMB
377409456,VWO
376731700,CBRE
375776324,EFX
375313250,IP
375208527,JCI
375135188,VLO
374653292,IYR
373890972,TOST
373184212,FUTU
372978741,MPC
369260864,GM
368690960,WEC
367736950,ROKU
365740570,MDB
365254920,CRL
363697620,AEP
362388020,ASTS
362287398,DUK
362145735,SCHD
361147004,SCHG
358055100,VTEB
355084815,EIX
354991088,RSG
354796535,CAH
354255065,BB
354178595,VCLT
353523405,BND
352322535,A
349434316,ETHA
348965512,ED
348769320,DG
348183440,ETR
348110112,TSLZ
347783858,MIDD
346303061,NTRA
345302200,MTB
344860824,LEN
342373350,PSX
341461850,TMF
340656864,JAAA
340580000,STX
339832404,HWM
339208755,HLT
338787501,FDX
338659344,ILMN
338553400,CTRA
338248240,SPIB
338111898,BKLN
337730071,VRSK
337361549,IEMG
337317244,ITW
335564004,TLN
335402730,FTV
334488500,KEYS
334192365,VGK
333902205,WAB
332475225,GIS
331348236,TSCO
330850228,XHB
330597288,CIVI
330579135,HUBS
330520857,AEM
330489735,VMC
329050034,BKR
328877632,SOUN
328803630,ETHU
328725023,PEG
327671036,CNC
327421080,SYY
326914690,BIDU
325284750,KHC
324023392,PNC
323222788,EME
322947925,ARES
322934715,FOXA
322180836,BAH
322035750,LCID
318704166,GLW
318106185,PCG
317231192,FIX
316494500,AKAM
316432764,DXCM
315581772,EOG
314198010,VEEV
312366227,BAX
312363000,ALNY
311505675,CPRT
311251800,TOL
310758912,ARGX
310680825,QBTS
310560932,CYBR
310405953,VRSN
309952363,LVS
308558090,TXRH
307882715,FMTO
307152672,SMST
306939060,EXE
306863574,ENTG
305453052,USFR
304779000,MOH
303117023,RIO
302338040,WSM
302151577,EMR
301736332,QID
300800400,WING
299212398,SHY
297774136,GDDY
297656485,XYL
297013066,PHM
296981854,CNQ
296210530,ROST
295728444,CTSH
295719302,AWK
294190582,TDG
293749056,VALE
292941392,HSBC
291693600,DGX
290136956,ZS
289596076,SPXU
289190499,LUV
288863992,HSIC
288374620,EVR
287830250,ITRI
287711862,ZETA
287153828,LHX
286715700,ENB
286404500,ALGN
285084128,HUBB
285021403,GWW
284503975,TKO
284039065,IREN
283522734,UDOW
281484060,NUE
279769340,ENPH
278817136,LDOS
277765980,ACHR
277683468,CSGP
277226817,EWJ
276775780,SDS
275542800,ANF
275001644,YINN
274955616,AME
274910400,VTR
273966448,IT
273734748,PRU
273056130,CLSK
271647893,NTAP
270460835,IQLT
270277035,HES
